Scientific_Name	Common_Name
Umbra limi	central mudminnow
Campostoma anomalum	central stoneroller
Ranoidea gilleni	Centralian tree frog
Cercocebus atys	Cercocebus atys atys
Cercopithecus albogularis	Cercopithecus albogularis albotorquatus
Cercopithecus albogularis	Cercopithecus albogularis erythrarchus
Cercopithecus albogularis	Cercopithecus albogularis francescae
Cercopithecus albogularis	Cercopithecus albogularis kolbi
Cercopithecus albogularis	Cercopithecus albogularis labiatus
Cercopithecus albogularis	Cercopithecus albogularis moloneyi
Cercopithecus albogularis	Cercopithecus albogularis monoides
Cercopithecus ascanius	Cercopithecus ascanius ascanius
Cercopithecus ascanius	Cercopithecus ascanius katangae
Cercopithecus ascanius	Cercopithecus ascanius schmidti
Cercopithecus ascanius	Cercopithecus ascanius whitesidei
Cercopithecus cephus	Cercopithecus cephus cephus
Cercopithecus cephus	Cercopithecus cephus ngottoensis
Cercopithecus erythrogaster	Cercopithecus erythrogaster pococki
Cercopithecus erythrotis	Cercopithecus erythrotis camerunensis
Cercopithecus erythrotis	Cercopithecus erythrotis erythrotis
Cercopithecus mitis	Cercopithecus mitis boutourlinii
Cercopithecus mitis	Cercopithecus mitis heymansi
Cercopithecus mitis	Cercopithecus mitis mitis
Cercopithecus mitis	Cercopithecus mitis opisthostictus
Cercopithecus mitis	Cercopithecus mitis stuhlmanni
Cercopithecus nictitans	Cercopithecus nictitans martini
Cercopithecus nictitans	Cercopithecus nictitans nictitans
Cercopithecus petaurista	Cercopithecus petaurista buettikoferi
Cercopithecus petaurista	Cercopithecus petaurista petaurista
Cercopithecus pogonias	Cercopithecus pogonias grayi
Cercopithecus pogonias	Cercopithecus pogonias nigripes
Cercopithecus pogonias	Cercopithecus pogonias pogonias
Cercopithecus pogonias	Cercopithecus pogonias schwarzianus
Cercopithecus wolfi	Cercopithecus wolfi elegans
Cercopithecus wolfi	Cercopithecus wolfi pyrogaster
Wiedomys cerradensis	cerrado red-nosed mouse
Chelonoidis vicina	Cerro Azul giant tortoise
Rhinella acrolopha	Cerro Mali beaked toad
Gastrotheca trachyceps	Cerro Munchique marsupial frog
Cervus canadensis	Cervus canadensis nannodes
Cervus canadensis	Cervus canadensis songaricus
Cervus elaphus	Cervus elaphus alxaicus
Cervus elaphus	Cervus elaphus hippelaphus
Cervus elaphus	Cervus elaphus kansuensis
Cervus elaphus	Cervus elaphus macneilli
Cervus elaphus	Cervus elaphus maral
Cervus elaphus	Cervus elaphus xanthopygus
Cervus hanglu	Cervus hanglu yarkandensis
Cervus nippon	Cervus nippon centralis
Cervus nippon	Cervus nippon hortulorum
Cervus nippon	Cervus nippon kopschi
Cervus nippon	Cervus nippon sichuanicus
Cervus nippon	Cervus nippon taiouanus
Cervus nippon	Cervus nippon yakushimae
Cervus nippon	Cervus nippon yesoensis
Gallus lafayettii	Ceylon junglefowl
Papio ursinus	Chacma baboon
Chacophrys pierottii	Chaco horned frog
Boana raniceps	Chaco treefrog
Telmatobius verrucosus	Chaco water frog
Catagonus wagneri	Chacoan peccary
Anodontostoma chacunda	Chacunda gizzard shad
Chaeropus ecaudatus	Chaeropus ecaudatus ecaudatus
Fringilla coelebs	chaffinch
Esox niger	chain pickerel
Sahyadria chalakkudiensis	chalak barb
Tympanoctomys loschalchalerosorum	Chalchalero viscacha-rat
Syncrossus beauforti	chameleon loach
Scarus chameleon	chameleon parrotfish
Dryophytes versicolor	chameleon treefrog
Halichoeres dispilus	chameleon wrasse
Rupicapra rupicapra	chamois
Channa argus	Channa argus kimurai
Ictalurus punctatus	channel catfish
Percina copelandi	channel darter
Evoxymetopon taeniatus	Channel scabbardfish
Setarches guentheri	channeled rockfish
Leptobrachium chapaense	Chapa spadefoot toad
Equus burchellii chapmani	Chapman's zebra
Hyloscirtus charazani	Charazani treefrog
Pomacentrus brachialis	charcoal damsel
Chascanopsetta lugubris	Chascanopsetta lugubris lugubris
Anas chathamica	Chatham duck
Corvus moriorum	Chatham raven
Odontanthias borbonius	checked swallowtail
Chrysophlegma mentale	checker-throated woodpecker
Dicrossus filamentosus	checkerboard dwarf cichlid
Halichoeres hortulanus	checkerboard wrasse
Oliotius oligolepis	checkered barb
Rhynchocyon cirnei	checkered elephant shrew
Sphoeroides testudineus	checkered puffer
Lycenchelys kolthoffi	checkered wolf eel
Oxycheilinus digramma	cheeklined wrasse
Bathygobius cotticeps	cheekscaled frill-goby
Scorpaenodes evides	cheekspot scorpionfish
Halichoeres melasmapomus	cheekspot wrasse
Catreus wallichii	cheer pheasant
Nyctimystes cheesmani	Cheesman's big-eyed treefrog
Acinonyx jubatus	cheetah
Thryssa chefuensis	Chefoo thryssa
Cheilopogon agoo	Cheilopogon agoo agoo
Cheilopogon pinnatibarbatus	Cheilopogon pinnatibarbatus japonicus
Hynobius quelpaertensis	Cheju salamander
Sacura margaritacea	cherry anthias
Puntius titteya	cherry barb
Cottus czerskii	Cherskii's sculpin
Centropyge argi	cherubfish
Percina bimaculata	Chesapeake logperch
Emberiza rutila	Chestnut bunting
Dendromus mystacalis	chestnut climbing mouse
Sminthopsis archeri	chestnut dunnart
Cirripectes castaneus	chestnut eyelash-blenny
Cinclosoma castanotum	chestnut quail-thrush
Cormura brevirostris	chestnut sac-winged bat
Niviventer fulvescens	Chestnut white-bellied rat
Celeus elegans	chestnut woodpecker
Locustella castanea	Chestnut-backed bush-warbler
Lonchura castaneothorax	chestnut-breasted munia
Timalia pileata	chestnut-capped babbler
Chrysomus ruficapillus	chestnut-capped blackbird
Pomatostomus ruficeps	chestnut-crowned babbler
Trochalopteron erythrocephalum	chestnut-crowned laughingthrush
Zosterops erythropleurus	chestnut-flanked white-eye
Ara severus	chestnut-fronted macaw
Ramphastos swainsonii	Chestnut-mandibled toucan
Hylacola pyrrhopygia	Chestnut-rumped Hylacola
Acanthiza uropygialis	chestnut-rumped thornbill
Chrysominla strigula	chestnut-tailed minla
Sitta nagaensis	chestnut-vented nuthatch
Apodemus chevrieri	Chevrier's field mouse
Chaetodon trifascialis	chevron butterflyfish
Oligosoma homalonotum	chevron skink
Craugastor sartori	Chiapas dwarf robber frog
Gallus gallus	chicken
Parapristipoma trilineatum	chicken grunt
Gila nigrescens	Chihuahua chub
Onychomys arenicola	Chihuahuan grasshopper mouse
Corvus cryptoleucus	chihuahuan raven
Pleurodema thaul	Chile four-eyed frog
Mobula tarapacana	Chilean devil ray
Pinguipes chilensis	Chilean sandperch
Rhyncholestes raphanurus	Chilean shrew opossum
Chelonoidis chilensis	Chilean tortoise
Bagre panamensis	Chilhuil sea catfish
Gastrotheca ochoai	Chilica marsupial frog
Eupsophus calcaratus	Chiloe Island ground frog
Incilius tutelarius	Chimalapas toad
Hyloxalus infraguttatus	Chimbo rocket frog
Chaetura pelagica	chimney swift
Pan troglodytes	chimpanzee
Stolephorus chinensis	China anchovy
Sebastes nebulosus	China rockfish
Nelusetta ayraudi	Chinaman-leatherjacket
Symphorus nematophorus	chinamanfish
Alligator sinensis	Chinese alligator
Garrulax lanceolatus	Chinese babax
Bahaba taipingensis	Chinese bahaba
Rhizomys sinensis	Chinese bamboo rat
Bambusicola thoracicus	Chinese bamboo-partridge
Barbodes semifasciolatus	Chinese barb
Sicista concolor	Chinese birch mouse
Cuora flavomarginata	Chinese box turtle
Mauremys megalocephala	Chinese broad-headed pond turtle
Rana chensinensis	Chinese brown frog
Theloderma rhododiscus	Chinese bubble-nest frog
Neopomacentrus bankieri	Chinese demoiselle
Egretta eulophotes	Chinese egret
Lethrinus haematopterus	Chinese emperor
Abbottina obtusirostris	Chinese false gudgeon
Abbottina rivularis	Chinese false gudgeon
Platyrhina sinensis	Chinese fanray
Melogale moschata	Chinese ferret-badger
Moschus berezovskii	Chinese forest musk deer
Francolinus pintadeanus	Chinese francolin
Andrias davidianus	Chinese giant salamander
Clupanodon thrissa	Chinese gizzard shad
Naemorhedus griseus	Chinese goral
Accipiter soloensis	Chinese goshawk
Tetrastes sewerzowi	Chinese grouse
Cricetulus griseus	Chinese hamster
Lepus sinensis	Chinese hare
Garrulax canorus	Chinese hwamei
Eozapus setchuanus	Chinese jumping mouse
Saurogobio dabryi	Chinese lizard gudgeon
Leiocassis longirostris	Chinese longsnout catfish
Oryzias sinensis	Chinese medaka
Phoxinus oxycephalus	Chinese minnow
Lophophorus lhuysii	Chinese monal
Narcine lingula	Chinese numbfish
Manis pentadactyla	Chinese pangolin
Remiz consobrinus	Chinese penduline-tit
Ardeola bacchus	Chinese pond heron
Rasbora steineri	Chinese rasbora
Ochotona erythrotis	Chinese red pika
Rhinolophus sinicus	Chinese rufous horseshoe bat
Hynobius chinensis	Chinese salamander
Scomberomorus sinensis	Chinese seerfish
Capricornis milneedwardsii	Chinese serow
Sorex sinalis	Chinese shrew
Pampus chinensis	Chinese silver pomfret
Perccottus glenii	Chinese sleeper
Pelodiscus sinensis	Chinese soft-shelled turtle
Quasipaa spinosa	Chinese spiny frog
Mauremys sinensis	Chinese striped-necked turtle
Acipenser sinensis	Chinese sturgeon
Myxocyprinus asiaticus	Chinese sucker
Psephurus gladius	Chinese swordfish
Hyla chinensis	Chinese tree toad
Aulostomus chinensis	Chinese trumpetfish
Paramesotriton chinensis	Chinese warty newt
Hydropotes inermis	Chinese water deer
Misgurnus mizolepis	Chinese weather loach
Niviventer confucianus	Chinese white-bellied rat
Halichoeres tenuispinis	Chinese wrasse
Ptereleotris zebra	Chinese zebra goby
Procypris mera	Chinese-ink carp
Echinotriton chinhaiensis	Chinhai spiny newt
Gazella bennettii	chinkara
Oncorhynchus tshawytscha	Chinook salmon
Pygoscelis antarcticus	chinstrap penguin
Stenogobius genivittatus	chinstripe goby
Spizella passerina	chipping sparrow
Boana pugnax	Chirique-Flusse treefrog
Teratohyla pulverata	Chiriqui glass frog
Pristimantis cruentus	Chiriqui robber frog
Eptesicus chiriquinus	Chiriquinan serotine
Pantholops hodgsonii	chiru
Acrocheilus alutaceus	chiselmouth
Pseudodax moluccanus	chiseltooth wrasse
Axis axis	chital
Chloris sinica	Chloris sinica kittlitzi
Chloris sinica	Chloris sinica ussuriensis
Macropharyngodon choati	Choat's wrasse
Chromis dimidiata	chocolate chromis
Cephalopholis boenak	chocolate hind
Acanthurus pyroferus	chocolate surgeonfish
Acanthodoras cataphractus	chocolate talking catfish
Rineloricaria lanceolata	chocolate-colored catfish
Chalinolobus morio	chocolate-wattled bat
Phasmahyla cochranae	chocolatefoot leaf frog
Choeroichthys	Choeroichthys brachysoma
Cobitis choii	Choi's spiny loach
Seriolella porosa	choicy ruff
Leptobrachium liui	Chong'an moustache toad
Gnorimopsar chopi	Chopi blackbird
Gastrotheca christiani	Christian's marsupial frog
Chromis notata	Chromis notata notata
Megophrys chuannanensis	Chuanan short-legged toad
Scomber japonicus	chub mackerel
Electrona risso	chubby flashlightfish
Enteromius anoplus	chubbyhead barb
Tampichthys erimyzonops	chubsucker minnow
Antrostomus carolinensis	chuck-will's-widow
Alectoris chukar	chukar partridge
Oncorhynchus keta	chum salmon
Amolops chunganensis	Chungan torrent frog
Allobates brunneus	Chupada rocket frog
Petrocephalus catostoma	churchill
Schizopyge niger	Chush snowtrout
Isthmohyla rivularis	Cinchona Plantation treefrog
Sorex cinereus	cinereus shrew
Parupeneus heptacanthus	cinnabar goatfish
Antechinus leo	cinnamon antechinus
Ixobrychus cinnamomeus	cinnamon bittern
Cynomops abrasus	Cinnamon dog-faced bat
Pseudorhombus cinnamoneus	cinnamon flounder
Myotis fortidens	cinnamon myotis
Halichoeres miniatus	circle-cheek wrasse
Neamia articycla	circular cardinalfish
Glossogobius circumspectus	circumspect goby
Circus spilonotus	Circus spilonotus spilonotus
Cirrhitus pinnulatus	Cirrhitus pinnulatus maculosus
Cirrhitus pinnulatus	Cirrhitus pinnulatus pinnulatus
Coregonus artedi	cisco
Trogon citreolus	citreoline trogon
Microcebus mamiratra	Claire's mouse lemur
Barbus calidus	clanwilliam redfin
Echymipera clara	Clara's echymipera
Holacanthus clarionensis	clarion angelfish
Haddadus binotatus	clay robber frog
Hybopsis winchelli	clear chub
Kerivoula pellucida	clear-winged woolly bat
Neoniphon argenteus	clearfin squirrelfish
Protosalanx hyalocranius	clearhead icefish
Raja eglanteria	clearnose skate
Atropus atropos	cleftbelly trevally
Tamias dorsalis	cliff chipmunk
Eleutherodactylus marnockii	cliff chirping frog
Anabas testudineus	climbing perch
Suncus megalura	climbing shrew
Clinitrachus argentatus	cline
Enteromius callipterus	clipper barb
Ptychohyla euthysanota	cloud forest stream frog
Squatina nebulosa	clouded angelshark
Neofelis nebulosa	Clouded leopard
Scyliorhinus torazame	cloudy catshark
Amphiprion ocellaris	clown anemonefish
Coris aygula	clown coris
Chitala chitala	clown knifefish
Chromobotia macracanthus	clown loach
Rasbora kalochroma	clown rasbora
Balistoides conspicillum	clown triggerfish
Halichoeres maculipinna	clown wrasse
Sillaginopodys chondropus	clubfoot sillago
Carangoides oblongus	coachwhip trevally
Percina brevicauda	coal darter
Mobula alfredi	coastal manta ray
Carangoides coeruleopinnatus	coastal trevally
Cottus aleuticus	coastrange sculpin
Hypoatherina tsurugae	cobaltcap silverside
Rachycentron canadum	cobia
Cobitis melanoleuca	Cobitis melanoleuca granoei
Cobitis minamorii	Cobitis minamorii minamorii
Cobitis minamorii	Cobitis minamorii oumiensis
Cobitis minamorii	Cobitis minamorii saninensis
Cobitis minamorii	Cobitis minamorii tokaiensis
Cobitis striata	Cobitis striata fuchigamii
Cobitis striata	Cobitis striata hakataensis
Cobitis striata	Cobitis striata striata
Rhinella amboroensis	Cochabamba toad
Yunganastes fraudator	Cochamba robber frog
Scinax similis	Cochran's snouted treefrog
Nymphicus hollandicus	cockatiel
Samaris cristatus	cockatoo righteye flounder
Ablabys taenianotus	cockatoo waspfish
Pteragogus enneacanthus	cockerel wrasse
Ebosia bleekeri	cockscomb firefish
Pteragogus flagellifer	cocktail wrasse
Paracaesio stonei	cocoa snapper
Bathygobius cocosensis	Cocos frill goby
Asterorhombus cocosensis	Cocos Island flounder
Latimeria chalumnae	coelacanth
Coelonotus	Coelonotus leiaspis
Oncorhynchus kisutch	coho salmon
Corvus pectoralis	collared crow
Spizixos semitorques	collared finchbill
Ficedula albicollis	Collared flycatcher
Cercocebus torquatus	collared mangabey
Herpestes semitorquatus	collared mongoose
Glaucidium brodiei	collared owlet
Pecari tajacu	collared peccary
Mannophryne collaris	collared poison frog
Bucco capensis	collared puffbird
Arielulus aureocollaris	Collared sprite
Anthreptes collaris	collared sunbird
Sciurus colliaei	Collie's squirrel
Collocalia affinis	Collocalia affinis cyanoptila
Collocalia esculenta	Collocalia esculenta spilura
Collocalia linchi	Collocalia linchi linchi
Colobus angolensis	Colobus angolensis palliatus
Leopardus colocolo	Colocolo
Pleurodema brachyops	Colombian four-eyed frog
Ceratophrys calcarata	Colombian horned frog
Tamias quadrivittatus	Colorado chipmunk
Engystomops coloradorum	Colorado dwarf frog
Ptychocheilus lucius	Colorado pikeminnow
Incilius alvarius	Colorado River toad
Columba janthina	Columba janthina janthina
Columba janthina	Columba janthina nitens
Paratrypauchen microcephalus	comb goby
Coris picta	comb wrasse
Serranus cabrilla	comber
Centroscyllium nigrum	combtooth dogfish
Calloplesiops altivelis	comet
Epinephelus morrhua	comet grouper
Occidentarius platypogon	cominate sea catfish
Stolephorus commersonnii	Commerson's anchovy
Antennarius commerson	Commerson's frogfish
Macronycteris commersoni	Commerson's roundleaf bat
Nezumia aequalis	common Atlantic grenadier
Nyctimystes narinosus	common big-eyed treefrog
Lutjanus kasmira	common bluestripe snapper
Tursiops truncatus	common bottlenose dolphin
Abramis brama	common bream
Bleda syndactylus	Common bristlebill
Phaps chalcoptera	common bronzewing
Trichosurus vulpecula	common brushtail
Gobiomorphus cotidianus	common bully
Buteo buteo	common buzzard
Serinus canaria	Common canary
Cyprinus carpio	common carp
Cuculus canorus	common cuckoo
Limanda limanda	common dab
Leuciscus leuciscus	common dace
Dentex dentex	common dentex
Coryphaena hippurus	common dolphinfish
Myliobatis aquila	common eagle ray
Somateria mollissima	common eider
Ensatina eschscholtzii	common Ensatina
Kaupichthys diodontus	common false moray
Anoplogaster cornuta	common fangtooth
Thylamys pusillus	Common fat-tailed mouse opossum
Rana temporaria	common frog
Fusigobius neophytus	common fusegoby
Thamnophis sirtalis	Common Gartersnake
Platypelis pollicaris	common giant treefrog
Hylobates lar	common gibbon
Pomatoschistus microps	common goby
Bucephala clangula	common goldeneye
Quiscalus quiscula	common grackle
Iguana iguana	Common green iguana
Setipinna tenuifilis	common hairfin anchovy
Falco tinnunculus	common kestrel
Alcedo atthis	common kingfisher
Oreolalax major	common lazy toad
Gastrotheca marsupiata	common marsupial frog
Mergus merganser	common merganser
Ranoidea rheocola	common mist frog
Gallinula chloropus	common moorhen
Uria aalge	common murre
Acridotheres tristis	common myna
Oligosoma polychroma	common New Zealand skink
Lissotriton vulgaris	common newt
Chordeiles minor	Common nighthawk
Elachistocleis ovalis	common oval frog
Homopus areolatus	common padloper
